sigPos,sigNeg,pdPos,hwPos,cccPos,pdNeg,hwNeg,cccNeg,btmf1,btmf2,bsmf1,bsmf2
1.00000,0.00000,2.50000,1.50000,0.01464,0.00000,0.00000,0.00000,43.23200,59.98200,0.71200,0.62600
1.00000,0.00000,2.50000,1.50000,0.03195,0.00000,0.00000,0.00000,43.23200,43.83350,0.71200,0.60650
1.00000,0.00000,2.50000,1.00000,0.01170,0.00000,0.00000,0.00000,59.98200,43.83350,0.62600,0.60650
0.00000,0.00000,30.50000,NaN,0.00368,0.00000,0.00000,0.00000,68.21700,78.99750,0.50800,1.03850
0.00000,0.00000,2.50000,NaN,0.00290,0.00000,0.00000,0.00000,68.21700,49.06850,0.50800,0.66550
0.00000,0.00000,2.50000,NaN,0.00581,0.00000,0.00000,0.00000,78.99750,49.06850,1.03850,0.66550
1.00000,0.00000,2.00000,3.50000,0.01758,0.00000,0.00000,0.00000,22.14250,51.94000,0.77150,0.25000
0.00000,0.00000,3.00000,NaN,0.00550,0.00000,0.00000,0.00000,22.81600,199.83600,1.37650,0.17300
1.00000,0.00000,4.00000,3.00000,0.00524,0.00000,0.00000,0.00000,59.33750,286.33300,0.94000,0.18250
1.00000,0.00000,1.00000,1.00000,0.02109,0.00000,0.00000,0.00000,65.34600,42.62300,1.34800,0.91000
1.00000,0.00000,-1.00000,1.00000,0.01191,0.00000,0.00000,0.00000,37.47800,45.94600,0.43700,0.40450
1.00000,0.00000,1.50000,3.00000,0.02505,0.00000,0.00000,0.00000,33.45950,30.00800,1.45500,0.28150
1.00000,0.00000,1.00000,1.00000,0.00961,0.00000,0.00000,0.00000,108.72150,101.78250,1.85900,0.99250
1.00000,0.00000,-1.50000,2.00000,0.01169,0.00000,0.00000,0.00000,38.83650,22.27650,0.16500,0.26150
1.00000,0.00000,-2.00000,1.00000,0.01819,0.00000,0.00000,0.00000,22.68300,152.15300,1.04900,0.28550
0.00000,0.00000,3.00000,NaN,0.00400,0.00000,0.00000,0.00000,22.68300,256.01000,1.04900,0.18050
0.00000,0.00000,-26.50000,NaN,0.00656,0.00000,0.00000,0.00000,152.15300,256.01000,0.28550,0.18050
1.00000,0.00000,4.00000,1.50000,0.02350,0.00000,0.00000,0.00000,46.08200,280.93600,0.72400,0.18350
1.00000,0.00000,1.00000,5.50000,0.01721,0.00000,0.00000,0.00000,25.94300,25.99250,1.06350,0.76450
1.00000,0.00000,0.00000,1.00000,0.05143,0.00000,0.00000,0.00000,25.94300,144.18900,1.06350,0.17700
1.00000,0.00000,0.50000,2.00000,0.02916,0.00000,0.00000,0.00000,25.99250,144.18900,0.76450,0.17700
1.00000,0.00000,-2.00000,1.50000,0.00541,0.00000,0.00000,0.00000,67.90750,62.19350,0.94900,0.62100
1.00000,0.00000,1.50000,1.00000,0.02252,0.00000,0.00000,0.00000,47.85500,158.50000,1.48750,0.17550
1.00000,0.00000,1.50000,1.50000,0.03701,0.00000,0.00000,0.00000,60.22300,37.53200,0.60600,0.39300
1.00000,0.00000,1.50000,5.00000,0.05664,0.00000,0.00000,0.00000,60.22300,38.59750,0.60600,0.38100
1.00000,0.00000,4.00000,5.00000,0.03189,0.00000,0.00000,0.00000,37.53200,38.59750,0.39300,0.38100
0.00000,0.00000,5.50000,NaN,0.01066,0.00000,0.00000,0.00000,21.69100,27.57400,1.08550,0.65400
0.00000,0.00000,1.00000,NaN,0.00499,0.00000,0.00000,0.00000,21.69100,296.39700,1.08550,0.11300
0.00000,0.00000,-1.00000,NaN,0.00725,0.00000,0.00000,0.00000,27.57400,296.39700,0.65400,0.11300
1.00000,0.00000,-3.50000,2.50000,0.02381,0.00000,0.00000,0.00000,291.00800,40.39650,0.13800,0.55450
1.00000,0.00000,4.00000,1.50000,0.04021,0.00000,0.00000,0.00000,26.30450,12.06000,0.86950,0.38550
0.00000,0.00000,3.50000,NaN,0.03182,0.00000,0.00000,0.00000,26.30450,55.65600,0.86950,0.21000
1.00000,0.00000,4.00000,5.00000,0.01319,0.00000,0.00000,0.00000,12.06000,55.65600,0.38550,0.21000
1.00000,0.00000,-1.50000,3.00000,0.01863,0.00000,0.00000,0.00000,32.85250,29.57100,0.70150,0.66100
1.00000,0.00000,-1.00000,2.00000,0.00907,0.00000,0.00000,0.00000,38.82450,68.29550,0.45000,0.22100
1.00000,0.00000,-2.50000,1.50000,0.03507,0.00000,0.00000,0.00000,248.44700,38.22300,1.94600,0.49850
0.00000,0.00000,-2.00000,NaN,0.02000,0.00000,0.00000,0.00000,248.44700,248.44700,1.94600,1.94600
0.00000,0.00000,-38.00000,NaN,0.01237,0.00000,0.00000,0.00000,248.44700,248.44700,1.94600,1.94600
1.00000,0.00000,1.50000,1.50000,0.01156,0.00000,0.00000,0.00000,38.22300,248.44700,0.49850,1.94600
0.00000,0.00000,6.50000,NaN,0.02456,0.00000,0.00000,0.00000,38.22300,248.44700,0.49850,1.94600
0.00000,0.00000,3.00000,NaN,0.02430,0.00000,0.00000,0.00000,248.44700,248.44700,1.94600,1.94600
0.00000,0.00000,2.00000,NaN,0.02952,0.00000,0.00000,0.00000,71.56400,124.61400,1.06700,0.17800
1.00000,0.00000,-1.50000,2.50000,0.03202,0.00000,0.00000,0.00000,71.56400,246.94650,1.06700,1.79350
1.00000,0.00000,0.50000,1.00000,0.05172,0.00000,0.00000,0.00000,124.61400,246.94650,0.17800,1.79350
0.00000,0.00000,0.50000,NaN,0.04870,0.00000,0.00000,0.00000,34.26100,48.46300,1.21650,0.36200
0.00000,0.00000,4.00000,NaN,0.04642,0.00000,0.00000,0.00000,36.06200,34.88200,0.47300,0.32700
0.00000,0.00000,9.50000,NaN,0.01504,0.00000,0.00000,0.00000,36.06200,32.31500,0.47300,0.59350
0.00000,0.00000,-4.50000,NaN,0.01215,0.00000,0.00000,0.00000,34.88200,32.31500,0.32700,0.59350
1.00000,0.00000,0.50000,1.00000,0.06408,0.00000,0.00000,0.00000,30.74400,163.63950,0.90300,0.22400
1.00000,0.00000,2.50000,1.50000,0.01643,0.00000,0.00000,0.00000,45.45750,156.38000,0.18550,0.15200
1.00000,0.00000,-2.00000,1.50000,0.03748,0.00000,0.00000,0.00000,64.99050,48.83950,0.63150,0.47950
1.00000,0.00000,0.50000,3.50000,0.01531,0.00000,0.00000,0.00000,90.55700,75.07650,0.56600,0.52350
1.00000,0.00000,0.50000,1.50000,0.01602,0.00000,0.00000,0.00000,90.55700,174.69300,0.56600,0.54900
1.00000,0.00000,-1.00000,1.50000,0.02035,0.00000,0.00000,0.00000,75.07650,174.69300,0.52350,0.54900
1.00000,0.00000,-0.50000,1.50000,0.00935,0.00000,0.00000,0.00000,81.78150,65.34200,0.49400,0.44400
1.00000,0.00000,8.50000,1.00000,0.01343,0.00000,0.00000,0.00000,45.65950,18.43000,1.54850,1.05750
1.00000,0.00000,-8.00000,1.00000,0.01331,0.00000,0.00000,0.00000,45.65950,228.67150,1.54850,1.65300
0.00000,0.00000,-0.50000,NaN,0.00757,0.00000,0.00000,0.00000,18.43000,228.67150,1.05750,1.65300
0.00000,0.00000,-12.50000,NaN,0.00785,0.00000,0.00000,0.00000,110.42300,94.50000,0.71350,0.65200
1.00000,0.00000,-0.50000,1.00000,0.01438,0.00000,0.00000,0.00000,34.91650,36.77350,0.53000,0.64650
1.00000,0.00000,1.50000,2.00000,0.03246,0.00000,0.00000,0.00000,34.91650,33.32550,0.53000,0.54450
0.00000,0.00000,1.50000,NaN,0.01641,0.00000,0.00000,0.00000,34.91650,34.71700,0.53000,0.50850
1.00000,0.00000,1.00000,1.00000,0.02887,0.00000,0.00000,0.00000,36.77350,33.32550,0.64650,0.54450
0.00000,0.00000,0.50000,NaN,0.02058,0.00000,0.00000,0.00000,36.77350,34.71700,0.64650,0.50850
1.00000,0.00000,8.00000,1.00000,0.01686,0.00000,0.00000,0.00000,33.32550,34.71700,0.54450,0.50850
0.00000,0.00000,-33.50000,NaN,0.01397,0.00000,0.00000,0.00000,23.56950,36.68100,1.31000,0.52300
1.00000,0.00000,0.50000,1.50000,0.03527,0.00000,0.00000,0.00000,24.22700,31.02650,0.59950,1.05200
0.00000,0.00000,33.50000,NaN,0.09480,0.00000,0.00000,0.00000,24.22700,64.87350,0.59950,0.48200
1.00000,0.00000,0.00000,1.50000,0.27984,0.00000,0.00000,0.00000,24.22700,23.76750,0.59950,0.72100
1.00000,0.00000,1.50000,3.00000,0.15269,0.00000,0.00000,0.00000,31.02650,64.87350,1.05200,0.48200
1.00000,0.00000,0.00000,1.50000,0.05975,0.00000,0.00000,0.00000,31.02650,23.76750,1.05200,0.72100
0.00000,0.00000,33.50000,NaN,0.08721,0.00000,0.00000,0.00000,64.87350,23.76750,0.48200,0.72100
1.00000,0.00000,-16.50000,1.00000,0.01884,0.00000,0.00000,0.00000,38.62300,37.80350,0.59050,0.39850
0.00000,0.00000,0.50000,NaN,0.01255,0.00000,0.00000,0.00000,26.32600,248.44700,1.65200,1.94600
0.00000,0.00000,4.00000,NaN,0.06491,0.00000,0.00000,0.00000,26.32600,203.68500,1.65200,0.69950
1.00000,0.00000,5.00000,1.00000,0.04792,0.00000,0.00000,0.00000,248.44700,203.68500,1.94600,0.69950
1.00000,0.00000,-8.50000,1.00000,0.07585,0.00000,0.00000,0.00000,46.90100,44.56800,0.78500,0.39650
1.00000,0.00000,2.00000,2.50000,0.02474,0.00000,0.00000,0.00000,26.10250,27.46000,1.77500,0.83050
1.00000,0.00000,-16.50000,1.00000,0.00728,0.00000,0.00000,0.00000,133.75300,110.12000,0.50500,0.44600
1.00000,0.00000,-8.50000,1.00000,0.09166,0.00000,0.00000,0.00000,133.75300,53.88050,0.50500,0.41250
1.00000,0.00000,8.00000,1.00000,0.05707,0.00000,0.00000,0.00000,110.12000,53.88050,0.44600,0.41250
1.00000,0.00000,-2.00000,2.00000,0.00743,0.00000,0.00000,0.00000,24.09200,27.01800,1.41100,1.68350
1.00000,0.00000,1.50000,2.00000,0.02630,0.00000,0.00000,0.00000,24.09200,48.11300,1.41100,0.58250
1.00000,0.00000,-2.00000,1.50000,0.01390,0.00000,0.00000,0.00000,24.09200,227.53800,1.41100,0.61400
1.00000,0.00000,8.00000,1.00000,0.04386,0.00000,0.00000,0.00000,27.01800,48.11300,1.68350,0.58250
1.00000,0.00000,8.00000,1.50000,0.01686,0.00000,0.00000,0.00000,27.01800,227.53800,1.68350,0.61400
1.00000,0.00000,16.50000,1.00000,0.04100,0.00000,0.00000,0.00000,48.11300,227.53800,0.58250,0.61400
1.00000,0.00000,1.00000,1.00000,0.08862,0.00000,0.00000,0.00000,248.44700,248.44700,1.31450,0.44700
1.00000,0.00000,2.00000,1.50000,0.00768,0.00000,0.00000,0.00000,231.06850,236.81950,1.82750,1.47800
1.00000,0.00000,-8.00000,1.00000,0.03578,0.00000,0.00000,0.00000,244.38350,59.86000,1.94600,1.53350
1.00000,0.00000,0.00000,1.50000,0.24562,0.00000,0.00000,0.00000,244.38350,184.64300,1.94600,1.60150
0.00000,0.00000,33.50000,NaN,0.05613,0.00000,0.00000,0.00000,59.86000,184.64300,1.53350,1.60150
0.00000,0.00000,33.50000,NaN,0.01180,0.00000,0.00000,0.00000,248.44700,248.44700,1.94600,1.94600
1.00000,0.00000,-1.50000,1.50000,0.04190,0.00000,0.00000,0.00000,41.78200,26.18850,1.94600,1.91250
1.00000,0.00000,-0.50000,1.00000,0.14401,0.00000,0.00000,0.00000,248.44700,248.44700,1.86600,1.92450
1.00000,0.00000,-0.50000,1.00000,0.09565,0.00000,0.00000,0.00000,248.44700,216.00150,1.86600,0.83850
1.00000,0.00000,1.50000,2.00000,0.02087,0.00000,0.00000,0.00000,248.44700,216.00150,1.92450,0.83850
1.00000,0.00000,0.50000,1.00000,0.11373,0.00000,0.00000,0.00000,248.44700,248.44700,0.52300,1.67200
1.00000,0.00000,-0.50000,1.00000,0.04247,0.00000,0.00000,0.00000,248.44700,248.44700,0.52300,1.94550
1.00000,0.00000,-0.50000,1.50000,0.22765,0.00000,0.00000,0.00000,248.44700,248.44700,1.67200,1.94550
1.00000,0.00000,0.50000,1.00000,0.01172,0.00000,0.00000,0.00000,208.96850,239.39200,1.94600,1.94600
1.00000,0.00000,1.50000,3.00000,0.02509,0.00000,0.00000,0.00000,208.96850,236.57400,1.94600,0.46850
1.00000,0.00000,1.00000,1.00000,0.04446,0.00000,0.00000,0.00000,239.39200,236.57400,1.94600,0.46850
1.00000,0.00000,-0.50000,1.50000,0.01948,0.00000,0.00000,0.00000,151.01500,121.37300,0.32850,0.39350
1.00000,0.00000,-0.50000,1.00000,0.04990,0.00000,0.00000,0.00000,151.01500,124.78450,0.32850,0.35550
1.00000,0.00000,1.00000,1.00000,0.01413,0.00000,0.00000,0.00000,151.01500,52.26000,0.32850,0.33850
1.00000,0.00000,-33.50000,1.50000,0.01046,0.00000,0.00000,0.00000,121.37300,124.78450,0.39350,0.35550
1.00000,0.00000,1.00000,1.50000,0.01224,0.00000,0.00000,0.00000,121.37300,52.26000,0.39350,0.33850
1.00000,0.00000,1.00000,1.00000,0.00818,0.00000,0.00000,0.00000,124.78450,52.26000,0.35550,0.33850
0.00000,0.00000,-37.50000,NaN,0.02021,0.00000,0.00000,0.00000,209.78100,25.25900,0.30250,0.68450
0.00000,0.00000,-25.00000,NaN,0.00617,0.00000,0.00000,0.00000,209.78100,219.28650,0.30250,0.18250
1.00000,0.00000,-2.50000,1.00000,0.01188,0.00000,0.00000,0.00000,209.78100,56.93500,0.30250,0.37800
1.00000,0.00000,1.50000,1.00000,0.00837,0.00000,0.00000,0.00000,209.78100,191.80250,0.30250,0.20550
0.00000,0.00000,-0.50000,NaN,0.01765,0.00000,0.00000,0.00000,25.25900,219.28650,0.68450,0.18250
1.00000,0.00000,5.00000,1.50000,0.03307,0.00000,0.00000,0.00000,25.25900,56.93500,0.68450,0.37800
0.00000,0.00000,3.00000,NaN,0.02259,0.00000,0.00000,0.00000,25.25900,191.80250,0.68450,0.20550
1.00000,0.00000,-3.00000,1.50000,0.00711,0.00000,0.00000,0.00000,219.28650,56.93500,0.18250,0.37800
0.00000,0.00000,-33.50000,NaN,0.01031,0.00000,0.00000,0.00000,219.28650,191.80250,0.18250,0.20550
1.00000,0.00000,3.00000,1.00000,0.00655,0.00000,0.00000,0.00000,56.93500,191.80250,0.37800,0.20550
0.00000,0.00000,5.50000,NaN,0.06656,0.00000,0.00000,0.00000,134.81500,40.08200,0.04950,0.28650
0.00000,0.00000,4.00000,NaN,0.01539,0.00000,0.00000,0.00000,134.81500,19.18600,0.04950,0.49550
0.00000,0.00000,-2.00000,NaN,0.05561,0.00000,0.00000,0.00000,40.08200,19.18600,0.28650,0.49550
1.00000,0.00000,1.00000,3.50000,0.02186,0.00000,0.00000,0.00000,37.83450,87.42300,0.30050,0.27800
1.00000,0.00000,1.50000,1.50000,0.01772,0.00000,0.00000,0.00000,37.83450,95.08950,0.30050,0.17950
1.00000,0.00000,-1.00000,2.00000,0.01299,0.00000,0.00000,0.00000,87.42300,95.08950,0.27800,0.17950
0.00000,0.00000,-28.50000,NaN,0.00685,0.00000,0.00000,0.00000,204.92950,105.23600,0.13200,0.29850
1.00000,0.00000,0.50000,1.00000,0.05549,0.00000,0.00000,0.00000,204.92950,148.69100,0.13200,0.16700
1.00000,0.00000,-28.00000,1.50000,0.01032,0.00000,0.00000,0.00000,105.23600,148.69100,0.29850,0.16700
1.00000,0.00000,1.50000,1.00000,0.01434,0.00000,0.00000,0.00000,110.32550,120.95500,0.19400,0.17650
1.00000,0.00000,-1.00000,2.50000,0.01701,0.00000,0.00000,0.00000,175.48050,248.44700,0.34950,0.47600
0.00000,0.00000,-3.50000,NaN,0.00434,0.00000,0.00000,0.00000,44.36700,44.87750,0.38350,0.70150
1.00000,0.00000,2.50000,3.50000,0.03235,0.00000,0.00000,0.00000,44.36700,134.92500,0.38350,0.25200
0.00000,0.00000,5.00000,NaN,0.02093,0.00000,0.00000,0.00000,44.36700,157.93050,0.38350,0.17200
1.00000,0.00000,8.00000,3.50000,0.01347,0.00000,0.00000,0.00000,44.87750,134.92500,0.70150,0.25200
1.00000,0.00000,1.50000,1.50000,0.00905,0.00000,0.00000,0.00000,44.87750,157.93050,0.70150,0.17200
1.00000,0.00000,-1.00000,1.50000,0.01028,0.00000,0.00000,0.00000,134.92500,157.93050,0.25200,0.17200
0.00000,0.00000,-0.50000,NaN,0.01529,0.00000,0.00000,0.00000,232.14000,225.36900,0.13200,0.12600
0.00000,0.00000,-33.00000,NaN,0.02122,0.00000,0.00000,0.00000,232.14000,165.19750,0.13200,0.33500
0.00000,0.00000,-3.50000,NaN,0.01350,0.00000,0.00000,0.00000,232.14000,142.25050,0.13200,0.42450
0.00000,0.00000,-16.50000,NaN,0.03375,0.00000,0.00000,0.00000,232.14000,179.45200,0.13200,0.15750
0.00000,0.00000,-0.50000,NaN,0.03095,0.00000,0.00000,0.00000,225.36900,165.19750,0.12600,0.33500
0.00000,0.00000,29.50000,NaN,0.00682,0.00000,0.00000,0.00000,225.36900,142.25050,0.12600,0.42450
0.00000,0.00000,5.00000,NaN,0.01758,0.00000,0.00000,0.00000,225.36900,179.45200,0.12600,0.15750
0.00000,0.00000,36.00000,NaN,0.00561,0.00000,0.00000,0.00000,165.19750,142.25050,0.33500,0.42450
1.00000,0.00000,-8.50000,1.00000,0.00442,0.00000,0.00000,0.00000,165.19750,179.45200,0.33500,0.15750
0.00000,0.00000,-33.50000,NaN,0.00513,0.00000,0.00000,0.00000,142.25050,179.45200,0.42450,0.15750
0.00000,0.00000,0.00000,NaN,0.00722,0.00000,0.00000,0.00000,18.55050,228.58900,0.69600,0.09150
0.00000,0.00000,-2.00000,NaN,0.03352,0.00000,0.00000,0.00000,18.55050,104.33000,0.69600,0.24850
0.00000,0.00000,33.50000,NaN,0.02889,0.00000,0.00000,0.00000,18.55050,96.63600,0.69600,0.20750
0.00000,0.00000,-1.50000,NaN,0.02782,0.00000,0.00000,0.00000,228.58900,104.33000,0.09150,0.24850
0.00000,0.00000,1.00000,NaN,0.04683,0.00000,0.00000,0.00000,228.58900,96.63600,0.09150,0.20750
1.00000,0.00000,-8.50000,1.00000,0.00741,0.00000,0.00000,0.00000,104.33000,96.63600,0.24850,0.20750
1.00000,0.00000,1.50000,1.50000,0.02338,0.00000,0.00000,0.00000,248.44700,99.71100,0.33300,0.24400
1.00000,0.00000,1.00000,3.00000,0.03486,0.00000,0.00000,0.00000,46.63300,51.43650,1.65200,1.63300
1.00000,0.00000,0.50000,2.00000,0.06319,0.00000,0.00000,0.00000,100.56100,63.65000,0.45150,0.27500
1.00000,0.00000,1.50000,1.50000,0.03912,0.00000,0.00000,0.00000,100.56100,146.55300,0.45150,0.31650
1.00000,0.00000,1.50000,1.50000,0.09312,0.00000,0.00000,0.00000,63.65000,146.55300,0.27500,0.31650
1.00000,0.00000,-1.50000,2.50000,0.01079,0.00000,0.00000,0.00000,83.99200,151.88750,0.28750,0.31500
1.00000,0.00000,0.50000,2.50000,0.02148,0.00000,0.00000,0.00000,83.99200,94.92450,0.28750,0.29050
1.00000,0.00000,1.50000,2.00000,0.02393,0.00000,0.00000,0.00000,83.99200,84.42800,0.28750,0.27100
1.00000,0.00000,1.00000,2.00000,0.02033,0.00000,0.00000,0.00000,151.88750,94.92450,0.31500,0.29050
1.00000,0.00000,1.00000,2.00000,0.02209,0.00000,0.00000,0.00000,151.88750,84.42800,0.31500,0.27100
1.00000,0.00000,-1.00000,3.00000,0.03344,0.00000,0.00000,0.00000,94.92450,84.42800,0.29050,0.27100
1.00000,0.00000,-1.00000,1.00000,0.02899,0.00000,0.00000,0.00000,52.49750,170.73050,0.22050,0.09700
1.00000,0.00000,1.50000,2.50000,0.00868,0.00000,0.00000,0.00000,52.49750,94.21750,0.22050,0.19100
1.00000,0.00000,-0.50000,1.50000,0.00907,0.00000,0.00000,0.00000,52.49750,153.77250,0.22050,0.15850
1.00000,0.00000,1.00000,1.00000,0.02688,0.00000,0.00000,0.00000,170.73050,94.21750,0.09700,0.19100
0.00000,0.00000,-2.50000,NaN,0.01774,0.00000,0.00000,0.00000,170.73050,153.77250,0.09700,0.15850
0.00000,0.00000,3.00000,NaN,0.00674,0.00000,0.00000,0.00000,94.21750,153.77250,0.19100,0.15850
0.00000,0.00000,34.50000,NaN,0.00782,0.00000,0.00000,0.00000,266.95100,189.88500,0.07400,0.15350
0.00000,0.00000,1.00000,NaN,0.01285,0.00000,0.00000,0.00000,266.95100,146.72900,0.07400,0.14050
1.00000,0.00000,-1.00000,1.00000,0.00480,0.00000,0.00000,0.00000,189.88500,146.72900,0.15350,0.14050
0.00000,0.00000,0.50000,NaN,0.00766,0.00000,0.00000,0.00000,204.54200,26.75650,0.09100,0.42750
1.00000,0.00000,-0.50000,1.50000,0.02334,0.00000,0.00000,0.00000,204.54200,199.96250,0.09100,0.16750
1.00000,0.00000,1.00000,1.50000,0.04077,0.00000,0.00000,0.00000,204.54200,154.57350,0.09100,0.16500
1.00000,0.00000,0.50000,1.50000,0.03685,0.00000,0.00000,0.00000,204.54200,120.96500,0.09100,0.26150
0.00000,0.00000,1.00000,NaN,0.16037,0.00000,0.00000,0.00000,204.54200,130.89950,0.09100,0.17550
1.00000,0.00000,-0.50000,1.00000,0.03546,0.00000,0.00000,0.00000,26.75650,199.96250,0.42750,0.16750
0.00000,0.00000,0.00000,NaN,0.00663,0.00000,0.00000,0.00000,26.75650,154.57350,0.42750,0.16500
1.00000,0.00000,2.00000,2.50000,0.02309,0.00000,0.00000,0.00000,26.75650,120.96500,0.42750,0.26150
1.00000,0.00000,2.00000,2.50000,0.03102,0.00000,0.00000,0.00000,26.75650,130.89950,0.42750,0.17550
1.00000,0.00000,0.50000,1.50000,0.03108,0.00000,0.00000,0.00000,199.96250,154.57350,0.16750,0.16500
0.00000,0.00000,1.00000,NaN,0.03153,0.00000,0.00000,0.00000,199.96250,120.96500,0.16750,0.26150
1.00000,0.00000,1.00000,1.50000,0.05135,0.00000,0.00000,0.00000,199.96250,130.89950,0.16750,0.17550
0.00000,0.00000,1.00000,NaN,0.01443,0.00000,0.00000,0.00000,154.57350,120.96500,0.16500,0.26150
0.00000,0.00000,-1.00000,NaN,0.03878,0.00000,0.00000,0.00000,154.57350,130.89950,0.16500,0.17550
1.00000,0.00000,-1.00000,1.00000,0.00999,0.00000,0.00000,0.00000,120.96500,130.89950,0.26150,0.17550
1.00000,0.00000,3.00000,2.00000,0.01880,0.00000,0.00000,0.00000,142.45350,131.78350,0.48250,0.17150
1.00000,0.00000,1.50000,3.00000,0.03633,0.00000,0.00000,0.00000,142.45350,128.44900,0.48250,0.27700
1.00000,0.00000,1.50000,1.50000,0.02442,0.00000,0.00000,0.00000,142.45350,122.13300,0.48250,0.29900
1.00000,0.00000,2.00000,1.50000,0.04267,0.00000,0.00000,0.00000,142.45350,91.14350,0.48250,0.28050
1.00000,0.00000,0.50000,1.50000,0.01101,0.00000,0.00000,0.00000,131.78350,128.44900,0.17150,0.27700
1.00000,0.00000,-3.00000,1.00000,0.00488,0.00000,0.00000,0.00000,131.78350,122.13300,0.17150,0.29900
1.00000,0.00000,8.00000,1.00000,0.00687,0.00000,0.00000,0.00000,131.78350,91.14350,0.17150,0.28050
1.00000,0.00000,1.50000,1.00000,0.00950,0.00000,0.00000,0.00000,128.44900,122.13300,0.27700,0.29900
1.00000,0.00000,-0.50000,1.00000,0.04940,0.00000,0.00000,0.00000,128.44900,91.14350,0.27700,0.28050
1.00000,0.00000,-1.50000,1.00000,0.00833,0.00000,0.00000,0.00000,122.13300,91.14350,0.29900,0.28050
1.00000,0.00000,1.50000,2.00000,0.02087,0.00000,0.00000,0.00000,193.04700,70.61750,0.60950,0.48950
1.00000,0.00000,1.50000,2.00000,0.01579,0.00000,0.00000,0.00000,193.04700,57.73350,0.60950,0.55650
1.00000,0.00000,-1.50000,2.50000,0.02072,0.00000,0.00000,0.00000,70.61750,57.73350,0.48950,0.55650
1.00000,0.00000,8.50000,1.00000,0.13099,0.00000,0.00000,0.00000,94.89650,29.35050,1.94600,0.80350
1.00000,0.00000,8.50000,1.00000,0.02734,0.00000,0.00000,0.00000,94.89650,20.69100,1.94600,0.77750
0.00000,0.00000,33.50000,NaN,0.13165,0.00000,0.00000,0.00000,29.35050,20.69100,0.80350,0.77750
1.00000,0.00000,0.50000,1.00000,0.09305,0.00000,0.00000,0.00000,18.86050,75.93500,1.17900,1.14700
0.00000,0.00000,10.00000,NaN,0.03223,0.00000,0.00000,0.00000,18.86050,98.25250,1.17900,0.53550
0.00000,0.00000,17.00000,NaN,0.01985,0.00000,0.00000,0.00000,18.86050,118.43150,1.17900,0.94400
1.00000,0.00000,-16.50000,1.00000,0.02518,0.00000,0.00000,0.00000,75.93500,98.25250,1.14700,0.53550
1.00000,0.00000,-8.50000,1.00000,0.02929,0.00000,0.00000,0.00000,75.93500,118.43150,1.14700,0.94400
1.00000,0.00000,-8.50000,1.00000,0.02444,0.00000,0.00000,0.00000,98.25250,118.43150,0.53550,0.94400
1.00000,0.00000,-1.00000,2.00000,0.04914,0.00000,0.00000,0.00000,87.21650,59.88100,0.38300,0.23600
1.00000,0.00000,1.00000,1.00000,0.04231,0.00000,0.00000,0.00000,152.60400,144.23750,0.12700,0.21000
1.00000,0.00000,1.50000,1.00000,0.04296,0.00000,0.00000,0.00000,152.60400,107.69200,0.12700,0.17600
1.00000,0.00000,-1.00000,1.00000,0.09265,0.00000,0.00000,0.00000,144.23750,107.69200,0.21000,0.17600
1.00000,0.00000,1.00000,1.50000,0.12349,0.00000,0.00000,0.00000,192.57850,63.35350,0.13100,0.19150
1.00000,0.00000,1.50000,2.00000,0.03323,0.00000,0.00000,0.00000,117.29200,63.88750,0.28450,0.27600
1.00000,0.00000,2.00000,1.50000,0.00913,0.00000,0.00000,0.00000,61.00450,72.86250,0.31050,0.28250
1.00000,0.00000,1.50000,2.50000,0.02882,0.00000,0.00000,0.00000,61.00450,72.77050,0.31050,0.22850
1.00000,0.00000,2.00000,1.00000,0.01640,0.00000,0.00000,0.00000,61.00450,154.64500,0.31050,0.19150
1.00000,0.00000,-2.00000,2.00000,0.01428,0.00000,0.00000,0.00000,61.00450,57.05400,0.31050,0.20050
1.00000,0.00000,-2.00000,1.50000,0.03260,0.00000,0.00000,0.00000,72.86250,72.77050,0.28250,0.22850
1.00000,0.00000,-2.00000,1.00000,0.02812,0.00000,0.00000,0.00000,72.86250,154.64500,0.28250,0.19150
1.00000,0.00000,-2.00000,1.00000,0.01709,0.00000,0.00000,0.00000,72.86250,57.05400,0.28250,0.20050
1.00000,0.00000,-2.00000,2.00000,0.02326,0.00000,0.00000,0.00000,72.77050,154.64500,0.22850,0.19150
1.00000,0.00000,1.50000,2.50000,0.01802,0.00000,0.00000,0.00000,72.77050,57.05400,0.22850,0.20050
1.00000,0.00000,1.50000,2.50000,0.01284,0.00000,0.00000,0.00000,154.64500,57.05400,0.19150,0.20050
1.00000,0.00000,-1.50000,1.50000,0.02510,0.00000,0.00000,0.00000,37.64600,55.03350,0.16800,0.17300
0.00000,0.00000,-24.50000,NaN,0.00618,0.00000,0.00000,0.00000,53.24850,229.81400,0.77900,0.10800
1.00000,0.00000,-24.50000,1.00000,0.12589,0.00000,0.00000,0.00000,53.24850,240.29100,0.77900,0.14950
0.00000,0.00000,33.50000,NaN,0.19104,0.00000,0.00000,0.00000,53.24850,58.86900,0.77900,0.20350
1.00000,0.00000,16.50000,1.00000,0.13146,0.00000,0.00000,0.00000,229.81400,240.29100,0.10800,0.14950
1.00000,0.00000,11.50000,1.00000,0.19988,0.00000,0.00000,0.00000,229.81400,58.86900,0.10800,0.20350
